pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_dens,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad,rowupdate,pl_facility
11 Com,11 Com b,Radial Velocity,1,326.03,1.29,0.231,,19.4,,,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,4742,2.7,19,5/14/14,Xinglong Station
11 UMi,11 UMi b,Radial Velocity,1,516.21997,1.53,0.08,,14.74,,,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,125.72,4213,2.78,29.79,9/6/18,Thueringer Landessternwarte Tautenburg
14 And,14 And b,Radial Velocity,1,185.84,0.83,0,,4.8,,,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,4813,2.2,11,5/14/14,Okayama Astrophysical Observatory
14 Her,14 Her b,Radial Velocity,1,1773.40002,2.93,0.37,,4.66,,,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,5338,0.9,0.93,9/6/18,W. M. Keck Observatory
16 Cyg B,16 Cyg B b,Radial Velocity,1,798.5,1.66,0.68,,1.78,,,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.15,5750,1.08,1.13,9/6/18,Multiple Observatories
18 Del,18 Del b,Radial Velocity,1,993.3,2.6,0.08,,10.3,,,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,4979,2.3,8.5,5/14/14,Okayama Astrophysical Observatory
1RXS J160929.1-210524,1RXS J160929.1-210524 b,Imaging,1,,330,,,8,,,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145,4060,0.85,,4/1/15,Gemini Observatory
24 Boo,24 Boo b,Radial Velocity,1,30.3506,0.19,0.042,,0.91,,,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,96.25,4893,0.99,10.64,4/26/18,Okayama Astrophysical Observatory
24 Sex,24 Sex b,Radial Velocity,2,452.8,1.333,0.09,,1.99,,,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,5098,1.54,4.9,5/14/14,Lick Observatory
24 Sex,24 Sex c,Radial Velocity,2,883,2.08,0.29,,0.86,,,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,5098,1.54,4.9,5/14/14,Lick Observatory
2MASS J01225093-2439505,2MASS J01225093-2439505 b,Imaging,1,,52,,,24.5,,,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36,3530,0.4,,5/14/14,W. M. Keck Observatory
